gh_desc,Work Hours,Respondents,percentage,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Full-time: 31 or more hours worked,186251,74.95,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Part-time: 30 hours or less worked,58529,25.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Hours,Respondents,Percentage,Good Health,Not Good Health,,,,,,,,,,,,,,,,,,,,,,,
nssec_cat_8,40431.35,0,,,,,,,nssec_cat_8,0.37,40431.35,0,,,,nssec_cat_8,0.37,40431.35,0,"[[220797.5091709  32145.4908291]
 [ 37719.4908291   5491.5091709]]",,,nssec_cat_8,0.37,40431.35,0,"[[ 32145.4908291 220797.5091709]
 [  5491.5091709  37719.4908291]]"
hrs_wrkd_cat_2,20552.36,0,,,,,,,hrs_wrkd_cat_2,0.26,20552.36,0,,,,hrs_wrkd_cat_2,0.26,20552.36,0,"[[ 95935.87745227  13967.12254773]
 [162581.12254773  23669.87745227]]",,,hrs_wrkd_cat_2,0.26,20552.36,0,"[[ 13967.12254773  95935.87745227]
 [ 23669.87745227 162581.12254773]]"
trvlmode_cat_1,10674.2,0,,,,,,,trvlmode_cat_1,0.19,10674.2,0,,,,trvlmode_cat_1,0.19,10674.2,0,"[[140202.22397131  20411.77602869]
 [118314.77602869  17225.22397131]]",,,trvlmode_cat_1,0.19,10674.2,0,"[[ 20411.77602869 140202.22397131]
 [ 17225.22397131 118314.77602869]]"
nssec_cat_1,6280.4,0,,,,,,,nssec_cat_1,0.15,6280.4,0,,,,nssec_cat_1,0.15,6280.4,0,"[[185940.30364945  27070.69635055]
 [ 72576.69635055  10566.30364945]]",,,nssec_cat_1,0.15,6280.4,0,"[[ 27070.69635055 185940.30364945]
 [ 10566.30364945  72576.69635055]]"
nssec_cat_2,3355.49,0,,,,,,,nssec_cat_2,0.11,3355.49,0,,,,nssec_cat_2,0.11,3355.49,0,"[[196648.34081593  28629.65918407]
 [ 61868.65918407   9007.34081593]]",,,nssec_cat_2,0.11,3355.49,0,"[[ 28629.65918407 196648.34081593]
 [  9007.34081593  61868.65918407]]"
trvlmode_cat_9,665.58,0,,,,,,,trvlmode_cat_9,0.05,665.58,0,,,,trvlmode_cat_9,0.05,665.58,0,"[[248837.25563389  36227.74436611]
 [  9679.74436611   1409.25563389]]",,,trvlmode_cat_9,0.05,665.58,0,"[[ 36227.74436611 248837.25563389]
 [  1409.25563389   9679.74436611]]"
trvlmode_cat_2,527.54,0,,,,,,,trvlmode_cat_2,0.04,527.54,0,,,,trvlmode_cat_2,0.04,527.54,0,"[[237265.03351635  34542.96648365]
 [ 21251.96648365   3094.03351635]]",,,trvlmode_cat_2,0.04,527.54,0,"[[ 34542.96648365 237265.03351635]
 [  3094.03351635  21251.96648365]]"
nssec_cat_9,399.13,0,,,,,,,nssec_cat_9,0.04,399.13,0,,,,nssec_cat_9,0.04,399.13,0,"[[250938.35985332  36533.64014668]
 [  7578.64014668   1103.35985332]]",,,nssec_cat_9,0.04,399.13,0,"[[ 36533.64014668 250938.35985332]
 [  1103.35985332   7578.64014668]]"
nssec_cat_3,219.95,0,,,,,,,nssec_cat_3,0.03,219.95,0,,,,nssec_cat_3,0.03,219.95,0,"[[238331.73453676  34698.26546324]
 [ 20185.26546324   2938.73453676]]",,,nssec_cat_3,0.03,219.95,0,"[[ 34698.26546324 238331.73453676]
 [  2938.73453676  20185.26546324]]"
nssec_cat_4,208.26,0,,,,,,,nssec_cat_4,0.03,208.26,0,,,,nssec_cat_4,0.03,208.26,0,"[[235176.15009421  34238.84990579]
 [ 23340.84990579   3398.15009421]]",,,nssec_cat_4,0.03,208.26,0,"[[ 34238.84990579 235176.15009421]
 [  3398.15009421  23340.84990579]]"
